code,disease,nlm_descriptor,note
BREAST,Breast Cancer,Breast Neoplasms,
LUNG,Lung and Thoracic Cancer,Lung Neoplasms,
LUNG,Lung and Thoracic Cancer,Mesothelioma,
GI_COLORECTAL,Colorectal Cancer,Colorectal Neoplasms,
GI_PANCREAS,Pancreatic Cancer,Pancreatic Neoplasms,
GI_LIVER,Liver and Biliary Cancer,Liver Neoplasms,
GI_LIVER,Liver and Biliary Cancer,Biliary Tract Neoplasms,
GI_UPPER,Esophageal and Gastric Cancer,Stomach Neoplasms,
GI_UPPER,Esophageal and Gastric Cancer,Esophageal Neoplasms,
GU_PROSTATE,Prostate Cancer,Prostatic Neoplasms,
GU_OTHER,Kidney Bladder and Testicular Cancer,Kidney Neoplasms,
GU_OTHER,Kidney Bladder and Testicular Cancer,Urinary Bladder Neoplasms,
GU_OTHER,Kidney Bladder and Testicular Cancer,Testicular Neoplasms,
GYN,Gynecologic Cancer,Ovarian Neoplasms,
GYN,Gynecologic Cancer,Uterine Cervical Neoplasms,
GYN,Gynecologic Cancer,Endometrial Neoplasms,
HEME_LEUK,Leukemia,Leukemia,
HEME_LYMPH,Lymphoma,Lymphoma,
HEME_MYELOMA,Multiple Myeloma,Multiple Myeloma,
HEME_MDS_MPN,Myelodysplastic and Myeloproliferative Cancer,Myelodysplastic Syndromes,
HEME_MDS_MPN,Myelodysplastic and Myeloproliferative Cancer,Myeloproliferative Disorders,
NEURO,Brain and Nervous System Cancer,Central Nervous System Neoplasms,
HEAD_NECK,Head and Neck Cancer,Head and Neck Neoplasms,
SKIN,Melanoma and Skin Cancer,Melanoma,
SKIN,Melanoma and Skin Cancer,Skin Neoplasms,
SARCOMA,Sarcoma and Bone Cancer,Sarcoma,
SARCOMA,Sarcoma and Bone Cancer,Bone Neoplasms,
ENDO,Thyroid and Neuroendocrine Cancer,Thyroid Neoplasms,
ENDO,Thyroid and Neuroendocrine Cancer,Neuroendocrine Tumors,
