supercategory,family_label,descriptor_ui,confidence,source_note
molecular_biochem_reagents,Flow cytometry assays,D005434,curated,"Flow Cytometry — exact method descriptor. A2 families.json v2026-06-10 (label+supercategory verified). #879 seed, hand-verified 2026-06-11."
microscopy_histology,Immunohistochemistry,D007150,curated,"Immunohistochemistry — 1:1 descriptor name. #879 seed, hand-verified 2026-06-11."
microscopy_histology,Confocal microscopy,D018613,curated,"Microscopy, Confocal — same method; descriptor uses inverted NLM word order. #879 seed, hand-verified 2026-06-11."
molecular_biochem_reagents,RNA interference reagents,D034622,curated,"RNA Interference — the method behind the reagent family. #879 seed, hand-verified 2026-06-11."
molecular_biochem_reagents,CRISPR genome editing,D000072669,curated,"Gene Editing — the technique definition for the CRISPR family. Alternative D064113 (CRISPR-Cas Systems) defines the bacterial system rather than the editing method. #879 seed, hand-verified 2026-06-11."
animal_cell_models,Adoptive cell transfer models,D019264,curated,Adoptive Transfer — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
animal_cell_models,Organoid models,D009940,curated,Organoids — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
animal_cell_models,Transgenic mouse models,D008822,curated,"Mice, Transgenic — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
animal_cell_models,Zebrafish models,D015027,curated,Zebrafish — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
clinical_instruments_assays,Cardiopulmonary exercise testing,D005080,curated,Exercise Test — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
clinical_instruments_assays,Immunophenotyping assays,D016130,curated,Immunophenotyping — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
clinical_instruments_assays,Intraoperative neurophysiological monitoring,D064795,curated,Intraoperative Neurophysiological Monitoring — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
clinical_instruments_assays,Nerve conduction studies,D000092184,curated,Nerve Conduction Studies — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
clinical_instruments_assays,Point-of-care diagnostic testing,D000067716,curated,Point-of-Care Testing — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
computational_statistical,Deep learning models,D000077321,curated,Deep Learning — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
computational_statistical,Federated machine learning methods,D000098407,curated,Federated Learning — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
computational_statistical,Gene expression profiling,D020869,curated,Gene Expression Profiling — verified against the NLM scope note (medium confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
computational_statistical,High-throughput screening methods,D057166,curated,High-Throughput Screening Assays — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
computational_statistical,Metabolomics analysis,D055432,curated,Metabolomics — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
computational_statistical,Pharmacogenomic analysis,D000071185,curated,Pharmacogenomic Testing — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
computational_statistical,Phylogenetic analysis methods,D010802,curated,Phylogeny — verified against the NLM scope note (medium confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
computational_statistical,Qualitative research methods,D036301,curated,Qualitative Research — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
computational_statistical,Structure-activity relationship methods,D013329,curated,Structure-Activity Relationship — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
computational_statistical,Survival analysis methods,D016019,curated,Survival Analysis — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
functional_metabolic_cellular_assays,Glucose clamp techniques,D015309,curated,Glucose Clamp Technique — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
genomics_sequencing,Cell-free nucleic acid sequencing,D000073888,curated,Cell-Free Nucleic Acids — verified against the NLM scope note (medium confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
genomics_sequencing,Cytogenetic analysis,D020732,curated,Cytogenetic Analysis — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
genomics_sequencing,Epigenomic profiling,D057890,curated,Epigenomics — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
genomics_sequencing,Genome-wide association studies,D055106,curated,Genome-Wide Association Study — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
genomics_sequencing,Metagenomic sequencing,D056186,curated,Metagenomics — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
genomics_sequencing,Multi-omics profiling,D000095028,curated,Multiomics — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
genomics_sequencing,Spatial transcriptomics,D000099285,curated,Spatial Transcriptomics — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
genomics_sequencing,Whole-exome sequencing,D000073359,curated,Exome Sequencing — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
genomics_sequencing,Whole-genome sequencing,D000073336,curated,Whole Genome Sequencing — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,Autoradiography,D001345,curated,Autoradiography — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,CT angiography,D000072226,curated,Computed Tomography Angiography — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,Diffusion MRI,D038524,curated,Diffusion Magnetic Resonance Imaging — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,Doppler ultrasound,D018608,curated,"Ultrasonography, Doppler — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
imaging_image_analysis,Echocardiography,D004452,curated,Echocardiography — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,Fluoroscopy,D005471,curated,Fluoroscopy — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,Mammography,D008327,curated,Mammography — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,Molecular imaging,D057054,curated,Molecular Imaging — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,MR spectroscopy,D009682,curated,Magnetic Resonance Spectroscopy — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,Optical coherence tomography,D041623,curated,"Tomography, Optical Coherence — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
imaging_image_analysis,PET imaging,D049268,curated,Positron-Emission Tomography — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,PET/CT,D000072078,curated,Positron Emission Tomography Computed Tomography — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,Radiography,D011859,curated,Radiography — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
imaging_image_analysis,SPECT imaging,D015899,curated,"Tomography, Emission-Computed, Single-Photon — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
imaging_image_analysis,Ultrasound imaging,D014463,curated,Ultrasonography — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
microscopy_histology,Electron microscopy,D008854,curated,"Microscopy, Electron — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
microscopy_histology,Fluorescence microscopy,D008856,curated,"Microscopy, Fluorescence — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
microscopy_histology,Immunofluorescence microscopy,D008856,curated,"Microscopy, Fluorescence — verified against the NLM scope note (medium confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
