query_term,target_topic_id,candidate_mesh_descriptor,note
longevity,aging_geroscience,Longevity,#1258 — already its own descriptor; anchor only
healthspan,aging_geroscience,Aging,needs-alias (no NLM surface form)
senescence,aging_geroscience,Cellular Senescence,
lupus,autoimmune_rheumatologic_disease,Lupus Erythematosus Systemic,
rheumatoid arthritis,autoimmune_rheumatologic_disease,Arthritis Rheumatoid,
autoimmune disease,autoimmune_rheumatologic_disease,Autoimmune Diseases,overlap immunology_inflammation
physician burnout,bioethics_medical_humanities,Burnout Professional,
medical ethics,bioethics_medical_humanities,Ethics Medical,
clinician wellbeing,bioethics_medical_humanities,?,needs-alias
tissue engineering,biomedical_engineering,Tissue Engineering,
biomedical devices,biomedical_engineering,?,needs-alias; overlap drug/medical-device
clinical informatics,biomedical_informatics,Medical Informatics,
health informatics,biomedical_informatics,Medical Informatics,
AI in medicine,biomedical_informatics,Artificial Intelligence,overlap digital_health; needs-alias
heart disease,cardiovascular_disease,Heart Diseases,
heart attack,cardiovascular_disease,Myocardial Infarction,needs-alias (lay term)
stroke,cardiovascular_disease,Stroke,overlap neuroscience_neurology
hypertension,cardiovascular_disease,Hypertension,
cardiology,cardiovascular_disease,Cardiology,
eczema,dermatology_skin_disease,Eczema,
psoriasis,dermatology_skin_disease,Psoriasis,
acne,dermatology_skin_disease,Acne Vulgaris,
telehealth,digital_health_telemedicine,Telemedicine,
wearables,digital_health_telemedicine,Wearable Electronic Devices,
remote monitoring,digital_health_telemedicine,?,needs-alias
drug development,drug_discovery_pharmacology,Drug Discovery,
pharmacology,drug_discovery_pharmacology,Pharmacology,
emergency medicine,emergency_critical_care_medicine,Emergency Medicine,
critical care,emergency_critical_care_medicine,Critical Care,
ICU,emergency_critical_care_medicine,Intensive Care Units,overlap pulmonary_critical_care; needs-alias
climate change,environmental_planetary_health,Climate Change,
environmental health,environmental_planetary_health,Environmental Health,
epidemiology,epidemiology_population_health,Epidemiology,
disease surveillance,epidemiology_population_health,Epidemiological Monitoring,
liver disease,gastroenterology_hepatology,Liver Diseases,
IBD,gastroenterology_hepatology,Inflammatory Bowel Diseases,needs-alias
hepatitis,gastroenterology_hepatology,Hepatitis,
GI,gastroenterology_hepatology,Gastroenterology,needs-alias (ambiguous acronym — review)
CRISPR,gene_cell_therapy,Gene Editing,overlap genetics_genomics; needs-alias
gene therapy,gene_cell_therapy,Genetic Therapy,
CAR-T,gene_cell_therapy,"Receptors, Chimeric Antigen",needs-alias; overlap hematology/immunology
genomics,genetics_genomics_precision_medicine,Genomics,
precision medicine,genetics_genomics_precision_medicine,Precision Medicine,
genetic testing,genetics_genomics_precision_medicine,Genetic Testing,
colorectal cancer,gi_cancer,Colorectal Neoplasms,
colon cancer,gi_cancer,Colonic Neoplasms,needs-alias (lay)
pancreatic cancer,gi_cancer,Pancreatic Neoplasms,
global health,global_public_health,Global Health,
ovarian cancer,gynecologic_oncology,Ovarian Neoplasms,
cervical cancer,gynecologic_oncology,Uterine Cervical Neoplasms,
cost-effectiveness,health_economics,Cost-Benefit Analysis,
healthcare costs,health_economics,Health Care Costs,
health disparities,health_equity_social_determinants,Healthcare Disparities,
social determinants,health_equity_social_determinants,Social Determinants of Health,
SDOH,health_equity_social_determinants,Social Determinants of Health,needs-alias (acronym)
health policy,health_services_policy,Health Policy,
health services research,health_services_policy,Health Services Research,
anemia,hematology,Anemia,
blood disorders,hematology,Hematologic Diseases,needs-alias
immunology,immunology_inflammation,Allergy and Immunology,
inflammation,immunology_inflammation,Inflammation,
HIV,infectious_disease_immunology,HIV Infections,
COVID,infectious_disease_immunology,COVID-19,needs-alias
vaccines,infectious_disease_immunology,Vaccines,
sepsis,infectious_disease_immunology,Sepsis,overlap emergency/critical-care
antibiotics,infectious_disease_immunology,Anti-Bacterial Agents,
pregnancy,maternal_child_health,Pregnancy,overlap womens_health
prenatal,maternal_child_health,Prenatal Care,
neonatal,maternal_child_health,"Infant, Newborn",overlap pediatrics_neonatology
medical education,medical_education_workforce,Education Medical,
residency training,medical_education_workforce,Internship and Residency,
