descriptor_ui,parent_topic_id,source_note
D008136,aging_geroscience,"#1258 lay-term ""longevity"" -> Longevity (NLM exact). Review."
D000375,aging_geroscience,"#1258 lay-term ""healthspan"" -> Aging (NLM exact). Review."
D008180,autoimmune_rheumatologic_disease,"#1258 lay-term ""lupus"" -> Lupus Erythematosus, Systemic (NLM contains). Review."
D001172,autoimmune_rheumatologic_disease,"#1258 lay-term ""rheumatoid arthritis"" -> Arthritis, Rheumatoid (NLM exact). Review."
D001327,autoimmune_rheumatologic_disease,"#1258 lay-term ""autoimmune disease"" -> Autoimmune Diseases (NLM exact). Review."
D002055,bioethics_medical_humanities,"#1258 lay-term ""physician burnout"" -> Burnout, Professional (NLM exact). Review."
D004992,bioethics_medical_humanities,"#1258 lay-term ""medical ethics"" -> Ethics, Medical (NLM exact). Review."
D023822,biomedical_engineering,"#1258 lay-term ""tissue engineering"" -> Tissue Engineering (NLM exact). Review."
D008490,biomedical_informatics,"#1258 lay-term ""clinical informatics"" -> Medical Informatics (NLM exact). Review."
D001185,biomedical_informatics,"#1258 lay-term ""AI in medicine"" -> Artificial Intelligence (NLM exact). Review."
D006331,cardiovascular_disease,"#1258 lay-term ""heart disease"" -> Heart Diseases (NLM exact). Review."
D009203,cardiovascular_disease,"#1258 lay-term ""heart attack"" -> Myocardial Infarction (NLM exact). Review."
D020521,cardiovascular_disease,"#1258 lay-term ""stroke"" -> Stroke (NLM exact). Review."
D006973,cardiovascular_disease,"#1258 lay-term ""hypertension"" -> Hypertension (NLM exact). Review."
D002309,cardiovascular_disease,"#1258 lay-term ""cardiology"" -> Cardiology (NLM exact). Review."
D004485,dermatology_skin_disease,"#1258 lay-term ""eczema"" -> Eczema (NLM exact). Review."
D011565,dermatology_skin_disease,"#1258 lay-term ""psoriasis"" -> Psoriasis (NLM exact). Review."
D000152,dermatology_skin_disease,"#1258 lay-term ""acne"" -> Acne Vulgaris (NLM exact). Review."
D017216,digital_health_telemedicine,"#1258 lay-term ""telehealth"" -> Telemedicine (NLM exact). Review."
D000076251,digital_health_telemedicine,"#1258 lay-term ""wearables"" -> Wearable Electronic Devices (NLM exact). Review."
D000076722,drug_discovery_pharmacology,"#1258 lay-term ""drug development"" -> Drug Development (NLM exact). Review."
D010600,drug_discovery_pharmacology,"#1258 lay-term ""pharmacology"" -> Pharmacology (NLM exact). Review."
D004635,emergency_critical_care_medicine,"#1258 lay-term ""emergency medicine"" -> Emergency Medicine (NLM exact). Review."
D003422,emergency_critical_care_medicine,"#1258 lay-term ""critical care"" -> Critical Care (NLM exact). Review."
D007362,emergency_critical_care_medicine,"#1258 lay-term ""ICU"" -> Intensive Care Units (NLM exact). Review."
D057231,environmental_planetary_health,"#1258 lay-term ""climate change"" -> Climate Change (NLM exact). Review."
D004782,environmental_planetary_health,"#1258 lay-term ""environmental health"" -> Environmental Health (NLM exact). Review."
D004813,epidemiology_population_health,"#1258 lay-term ""epidemiology"" -> Epidemiology (NLM exact). Review."
D062665,epidemiology_population_health,"#1258 lay-term ""disease surveillance"" -> Epidemiological Monitoring (NLM exact). Review."
D008107,gastroenterology_hepatology,"#1258 lay-term ""liver disease"" -> Liver Diseases (NLM exact). Review."
D015212,gastroenterology_hepatology,"#1258 lay-term ""IBD"" -> Inflammatory Bowel Diseases (NLM exact). Review."
D006505,gastroenterology_hepatology,"#1258 lay-term ""hepatitis"" -> Hepatitis (NLM exact). Review."
D064112,gene_cell_therapy,"#1258 lay-term ""CRISPR"" -> Clustered Regularly Interspaced Short Palindromic Repeats (NLM exact). Review."
D015316,gene_cell_therapy,"#1258 lay-term ""gene therapy"" -> Genetic Therapy (NLM exact). Review."
D000076962,gene_cell_therapy,"#1258 lay-term ""CAR-T"" -> Receptors, Chimeric Antigen (NLM exact). Review."
D023281,genetics_genomics_precision_medicine,"#1258 lay-term ""genomics"" -> Genomics (NLM exact). Review."
D057285,genetics_genomics_precision_medicine,"#1258 lay-term ""precision medicine"" -> Precision Medicine (NLM exact). Review."
D005820,genetics_genomics_precision_medicine,"#1258 lay-term ""genetic testing"" -> Genetic Testing (NLM exact). Review."
D015179,gi_cancer,"#1258 lay-term ""colorectal cancer"" -> Colorectal Neoplasms (NLM exact). Review."
D003110,gi_cancer,"#1258 lay-term ""colon cancer"" -> Colonic Neoplasms (NLM exact). Review."
D010190,gi_cancer,"#1258 lay-term ""pancreatic cancer"" -> Pancreatic Neoplasms (NLM exact). Review."
D014943,global_public_health,"#1258 lay-term ""global health"" -> Global Health (NLM exact). Review."
D010051,gynecologic_oncology,"#1258 lay-term ""ovarian cancer"" -> Ovarian Neoplasms (NLM exact). Review."
D002583,gynecologic_oncology,"#1258 lay-term ""cervical cancer"" -> Uterine Cervical Neoplasms (NLM exact). Review."
D000094703,health_economics,"#1258 lay-term ""cost-effectiveness"" -> Cost-Effectiveness Analysis (NLM exact). Review."
D017048,health_economics,"#1258 lay-term ""healthcare costs"" -> Health Care Costs (NLM exact). Review."
D000091682,health_equity_social_determinants,"#1258 lay-term ""health disparities"" -> Health Inequities (NLM exact). Review."
D064890,health_equity_social_determinants,"#1258 lay-term ""social determinants"" -> Social Determinants of Health (NLM exact). Review."
D006291,health_services_policy,"#1258 lay-term ""health policy"" -> Health Policy (NLM exact). Review."
D006302,health_services_policy,"#1258 lay-term ""health services research"" -> Health Services Research (NLM exact). Review."
D000740,hematology,"#1258 lay-term ""anemia"" -> Anemia (NLM exact). Review."
D006402,hematology,"#1258 lay-term ""blood disorders"" -> Hematologic Diseases (NLM exact). Review."
D000486,immunology_inflammation,"#1258 lay-term ""immunology"" -> Allergy and Immunology (NLM exact). Review."
D007249,immunology_inflammation,"#1258 lay-term ""inflammation"" -> Inflammation (NLM exact). Review."
D006678,infectious_disease_immunology,"#1258 lay-term ""HIV"" -> HIV (NLM exact). Review."
D000086382,infectious_disease_immunology,"#1258 lay-term ""COVID"" -> COVID-19 (NLM exact). Review."
D014612,infectious_disease_immunology,"#1258 lay-term ""vaccines"" -> Vaccines (NLM exact). Review."
D018805,infectious_disease_immunology,"#1258 lay-term ""sepsis"" -> Sepsis (NLM exact). Review."
D000900,infectious_disease_immunology,"#1258 lay-term ""antibiotics"" -> Anti-Bacterial Agents (NLM exact). Review."
D011247,maternal_child_health,"#1258 lay-term ""pregnancy"" -> Pregnancy (NLM exact). Review."
D011295,maternal_child_health,"#1258 lay-term ""prenatal"" -> Prenatal Care (NLM exact). Review."
D007231,maternal_child_health,"#1258 lay-term ""neonatal"" -> Infant, Newborn (NLM exact). Review."
D004501,medical_education_workforce,"#1258 lay-term ""medical education"" -> Education, Medical (NLM exact). Review."
D007396,medical_education_workforce,"#1258 lay-term ""residency training"" -> Internship and Residency (NLM exact). Review."
D003863,mental_health_psychiatry,"#1258 lay-term ""depression"" -> Depression (NLM exact). Review."
D001007,mental_health_psychiatry,"#1258 lay-term ""anxiety"" -> Anxiety (NLM exact). Review."
D011570,mental_health_psychiatry,"#1258 lay-term ""psychiatry"" -> Psychiatry (NLM exact). Review."
D013313,mental_health_psychiatry,"#1258 lay-term ""PTSD"" -> Stress Disorders, Post-Traumatic (NLM exact). Review."
D012559,mental_health_psychiatry,"#1258 lay-term ""schizophrenia"" -> Schizophrenia (NLM exact). Review."
D003920,metabolic_endocrine_disease,"#1258 lay-term ""diabetes"" -> Diabetes Mellitus (NLM exact). Review."
D009765,metabolic_endocrine_disease,"#1258 lay-term ""obesity"" -> Obesity (NLM exact). Review."
D013961,metabolic_endocrine_disease,"#1258 lay-term ""thyroid"" -> Thyroid Gland (NLM exact). Review."
D004704,metabolic_endocrine_disease,"#1258 lay-term ""endocrinology"" -> Endocrinology (NLM exact). Review."
D064307,microbiome_research,"#1258 lay-term ""microbiome"" -> Microbiota (NLM exact). Review."
D000069196,microbiome_research,"#1258 lay-term ""gut bacteria"" -> Gastrointestinal Microbiome (NLM exact). Review."
D009985,musculoskeletal_orthopedic_medicine,"#1258 lay-term ""orthopedics"" -> Orthopedics (NLM exact). Review."
D001168,musculoskeletal_orthopedic_medicine,"#1258 lay-term ""arthritis"" -> Arthritis (NLM exact). Review."
D013178,musculoskeletal_orthopedic_medicine,"#1258 lay-term ""sports medicine"" -> Sports Medicine (NLM exact). Review."
D007674,nephrology_renal_disease,"#1258 lay-term ""kidney disease"" -> Kidney Diseases (NLM exact). Review."
D003956,nephrology_renal_disease,"#1258 lay-term ""dialysis"" -> Dialysis (NLM exact). Review."
D009398,nephrology_renal_disease,"#1258 lay-term ""nephrology"" -> Nephrology (NLM exact). Review."
D001932,neuro_oncology,"#1258 lay-term ""brain tumor"" -> Brain Neoplasms (NLM exact). Review."
D005909,neuro_oncology,"#1258 lay-term ""glioblastoma"" -> Glioblastoma (NLM exact). Review."
D000544,neurodegenerative_disease,"#1258 lay-term ""Alzheimer's"" -> Alzheimer Disease (NLM exact). Review."
D010300,neurodegenerative_disease,"#1258 lay-term ""Parkinson's"" -> Parkinson Disease (NLM exact). Review."
D003704,neurodegenerative_disease,"#1258 lay-term ""dementia"" -> Dementia (NLM exact). Review."
D000690,neurodegenerative_disease,"#1258 lay-term ""ALS"" -> Amyotrophic Lateral Sclerosis (NLM exact). Review."
D009488,neuroscience_neurology,"#1258 lay-term ""neuroscience"" -> Neurosciences (NLM exact). Review."
D004827,neuroscience_neurology,"#1258 lay-term ""epilepsy"" -> Epilepsy (NLM exact). Review."
D052756,nutrition_metabolism,"#1258 lay-term ""nutrition"" -> Nutritional Sciences (NLM exact). Review."
D004032,nutrition_metabolism,"#1258 lay-term ""diet"" -> Diet (NLM exact). Review."
D005123,ophthalmology_vision_science,"#1258 lay-term ""eye"" -> Eye (NLM exact). Review."
D005901,ophthalmology_vision_science,"#1258 lay-term ""glaucoma"" -> Glaucoma (NLM exact). Review."
D014785,ophthalmology_vision_science,"#1258 lay-term ""vision"" -> Vision, Ocular (NLM exact). Review."
D003813,oral_craniofacial_health,"#1258 lay-term ""dental"" -> Dentistry (NLM exact). Review."
D010036,otolaryngology_head_neck,"#1258 lay-term ""ENT"" -> Otolaryngology (NLM exact). Review."
D059350,pain_management_anesthesiology,"#1258 lay-term ""chronic pain"" -> Chronic Pain (NLM exact). Review."
D000758,pain_management_anesthesiology,"#1258 lay-term ""anesthesia"" -> Anesthesia (NLM exact). Review."
D010166,palliative_end_of_life_care,"#1258 lay-term ""palliative care"" -> Palliative Care (NLM exact). Review."
D006738,palliative_end_of_life_care,"#1258 lay-term ""hospice"" -> Hospices (NLM exact). Review."
D010336,pathology_laboratory_medicine,"#1258 lay-term ""pathology"" -> Pathology (NLM exact). Review."
D010372,pediatrics_neonatology,"#1258 lay-term ""pediatrics"" -> Pediatrics (NLM exact). Review."
D000067576,pediatrics_neonatology,"#1258 lay-term ""children's health"" -> Child Health (NLM exact). Review."
D011320,primary_care_general_medicine,"#1258 lay-term ""primary care"" -> Primary Health Care (NLM exact). Review."
D007388,primary_care_general_medicine,"#1258 lay-term ""internal medicine"" -> Internal Medicine (NLM exact). Review."
D011471,prostate_urologic_cancer,"#1258 lay-term ""prostate cancer"" -> Prostatic Neoplasms (NLM exact). Review."
D001749,prostate_urologic_cancer,"#1258 lay-term ""bladder cancer"" -> Urinary Bladder Neoplasms (NLM exact). Review."
D029424,pulmonary_critical_care,"#1258 lay-term ""COPD"" -> Pulmonary Disease, Chronic Obstructive (NLM exact). Review."
D001249,pulmonary_critical_care,"#1258 lay-term ""asthma"" -> Asthma (NLM exact). Review."
